Наименование;Цена;До;Тип тендера;От;Регион;Отрасль
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ Г М БЕРИЕВА объявляет тендер Выполнение услуг на разработку мероприятий по уменьшению выбросов загрязняющих веществ в атмосферный воздух в период неблагоприятных метеорологических условий;456000;09.03.2021;Запрос котировок;25.02.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ Г М БЕРИЕВА объявляет тендер Поставка стеклотканей стеклолент для выполнения ремонта самолета ТУ МЗ;1685570;11.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Строительные материалы оборудование и инструменты;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СВЯЗИ объявляет тендер Поставка дверных блоков Римини филадельфия коньяк;239917;09.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Полы окна и двери;;
Канцелярские товары;12593;12.03.2021;Запрос котировок;03.03.2021;Ростовская область Южный ФО Таганрог;Офис дом Канцелярские принадлежности;;
Канцелярские товары;43530;12.03.2021;Запрос котировок;03.03.2021;Ростовская область Южный ФО Таганрог;Офис дом Канцелярские принадлежности;;
Канцелярские товары;23333;09.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Офис дом Канцелярские принадлежности;;
услуги по захоронению биологического материала;207079;12.03.2021;Запрос котировок;24.02.2021;Ростовская область Южный ФО Таганрог;Офис дом Услуги;;
Посадочный материал;26839;12.03.2021;Запрос котировок;20.02.2021;Ростовская область Южный ФО Таганрог;Сельское хозяйство Растениеводство;;
Оказание услуг по организации и проведению праздничного мероприятия посвященного всемирному дню охраны труда;57000;10.03.2021;Запрос котировок;01.03.2021;Ростовская область Южный ФО Таганрог;Спорт отдых туризм Организация праздников и других мероприятий;;
Организация и проведение соревнований среди работающей молодежи Папа мама я спортивная семья;75000;09.03.2021;Запрос котировок;25.02.2021;Ростовская область Южный ФО Таганрог;Спорт отдых туризм Организация праздников и других мероприятий;;
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТАГАНРОГСКИЙ ЛИТЕЙНЫЙ ЗАВОД объявляет тендер Открытый запрос котировок в электронной форме на право заключения договора на поставку автомобиля Газель европлатформа Россия двигатель бензиновый или эквивалент;1632025;15.03.2021;Запрос котировок;02.03.2021;Ростовская область Южный ФО Таганрог;Транспорт Автомобили автотранспорт автобусы прицепы;;
Транспортные услуги;60000;10.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Транспорт Транспортные услуги перевозки;;
Средства дезинфицирующие;13906;16.03.2021;Запрос котировок;05.03.2021;Ростовская область Южный ФО Таганрог;Химия Бытовая химия;;
Шары;31281;10.03.2021;Запрос котировок;19.02.2021;Ростовская область Южный ФО Таганрог;Химия Химические элементы и соединения;;
Право заключить договор на поставку электроламп для нужд МБУЗ ГБСМП;127800;16.03.2021;Запрос котировок;05.03.2021;Ростовская область Южный ФО Таганрог;Электротехника Кабельно проводниковая продукция;;
Техническое обслуживание систем автоматической установки пожарно охранной сигнализации адресно аналоговая аналоговая и систем оповещения и управления эвакуацией людей при пожаре аппаратно программного комплекса АПК ОКО для передачи информации автоматической системы пожарной сигнализации радиосигналом на ПЦН ЦУС ПЧ ФГКУ отряд ФПС по РО в автоматическом режиме без участия персонала автоматической установки газового пожаротушения управления дымоудалением и противодымной вентиляцией систем пожаротушения систем аварийного освещения;969900;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Безопасность Видеонаблюдение Сигнализация ОПС СКД;;
Услуги охраны;484875;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Безопасность Охрана и оборудование;;
Техническое обслуживание систем тревожной сигнализации систем охранной сигнализаций систем радиотревожной сигнализации систем контроля и управления доступом периметральная охранная система защиты экспонатов систем местного проводного вещания;509100;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Безопасность Видеонаблюдение Сигнализация ОПС СКД;;
Оказание услуг по техническому обслуживанию и обеспечению работоспособности системы охранно пожарной и тревожной сигнализации системы видеонаблюдения;99100;09.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Безопасность Видеонаблюдение Сигнализация ОПС СКД;;
Оказание услуг по предоставлению кредита в виде возобновляемой кредитной линии со свободным режимом выборки и свободным режимом погашения в сумме рублей для финансирования дефицита бюджета муниципального образования Город Таганрога и или погашения долговых обязательств муниципального образования Город Таганрог в году;12742849;16.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;Бизнес финансы страхование маркетинг и реклама Банковское дело;;
ИП Маляренко Алексей Владимирович объявляет тендер Торги в форме публичного предложения по реализации имущества ООО ИСК РАС Право требования к ООО РСС ОГРН ИНН в размере рублей согласно Определения Арбитражного суда Краснодарского края от г по делу А;1632646;30.03.2021;Электронный аукцион;16.12.2020;Ростовская область Южный ФО Таганрог;Бизнес финансы страхование маркетинг и реклама Банковское дело;;
Закупка печатной продукции журналов учета;70400;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Издательство полиграфия Книги журналы брошюры;;
Услуги по выпуску электронных подписей ЭЦП;125377;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Программное обеспечение;;
Оказание услуг по информационному сопровождению и обновлению ранее установленной справочно правовой системы Гарант;344715;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Программное обеспечение;;
Закупка компьютерных комплектующих;89733;15.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Компьютеры комплектующие оргтехника сети и сетевое оборудование;;
Поставка продукции радиоэлектронной промышленности устройства и блоки питания вычислительных машин;2066171;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Компьютеры комплектующие оргтехника сети и сетевое оборудование;;
Оказание услуг связи предоставление доступа к сети Интернет;57600;10.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Услуги провайдеров хостинг прочие услуги;;
Головки печатающие для плоттера и картриджи для офисной техники;1000000;09.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Компьютеры комплектующие оргтехника сети и сетевое оборудование;;
Закупка принтеров;191273;15.03.2021;Электронный аукцион;25.02.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Компьютеры комплектующие оргтехника сети и сетевое оборудование;;
МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОЕ ХОЗЯЙСТВО объявляет тендер Поставка спецодежды спецобуви и СИЗ по МУП Городское хозяйство на год;3263477;12.03.2021;Электронный аукцион;24.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Одежда и обувь;;
МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОЕ ХОЗЯЙСТВО объявляет тендер Поставка спецодежды спецобуви и СИЗ по МУП Городское хозяйство на год;1425826;12.03.2021;Электронный аукцион;24.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Одежда и обувь;;
Поставка комплектов механооборудования сцены;2940000;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Машиностроение Лифты и подъемно транспортное оборудование;;
МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОЕ ХОЗЯЙСТВО объявляет тендер Оказание услуг по проведению периодического медицинского осмотра сотрудников на год;534950;12.03.2021;Электронный аукцион;24.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Поставка лекарственных препаратов для медицинского применения мази лечебные;9252;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных препаратов для медицинского применения мази лечебные;54360;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку химреактивов для анализатора ИХА для нужд МБУЗ ГБСМП;447523;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Оказание услуг по проведению лабораторных исследований мазков из зева и носа на наличие стафилококка у персонала ГБУ РО ЦМР в г Таганроге;39200;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Оказание услуг по проведению предварительных медицинских осмотров при приеме на работу сотрудников ГБУ РО ЦМР в г Таганроге;40167;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Оказание услуг по проведению производственного контроля;202206;09.03.2021;Электронный аукцион;28.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
поставка химреактивов;452839;09.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Услуги по проведению рентгенологических исследований;191687;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Зонд универсальный одноразовый тип А;195400;10.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка медицинского оборудования аппараты для электролечения;177462;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
